"Categoria","Linguagem | Área","Portfólio PSC","Projeto","Ação","Descrição","Objetivos","Metas | Resultados esperados","Valores | Diretrizes","Unidade","Período","Público Alvo","Subatividade","Público Previsto","Orçamento Previsto","Centros de Custo","Data de Início da Atividade","Necessita de inscrição prévia?","Data ideal para abertura de inscrições?"
"Projeto Local","[""Memória e Patrimônio Social""]","Difusão e acesso à cultura","Exposições","Parcerias 2026 - Casa do Patrimônio","Projeto local que articula documentação, formação, ações comunitárias e difusão digital para preservar saberes em articulação com instituições. Prioriza trabalhadores do comércio e dependentes, em consonância com o Foco na Clientela Preferencial, e opera em rede com comunidades. Integra sustentabilidade, inovação e comunicação institucional para gerar renda cultural, ampliar o acesso e fortalecer identidades regionais alinhadas à Programação.","Consolidar a exposição Casa do Patrimônio e Tramas Daqui como espaço de valorização dos saberes populares e tradicionais de Paraty, promovendo a circulação de conhecimentos, a salvaguarda do patrimônio imaterial e a mediação ativa com o público do Sesc.","Realizar de 2 exposições - Tramas Daqui e Fazeres Daqui, reunindo acervos dos levantamentos e inventários Sesc junto a insctituições parceiras.","Valores: Acolhimento; Diversidade; Sustentabilidade; Inovação; Excelência

Diretrizes:
Foco na Clientela Preferencial: Prioriza a participação dos trabalhadores do comércio, seus dependentes e comunidades locais nas ações do projeto.

Atuação em Rede: Fortalece parcerias entre comunidades, instituições públicas, privadas e organizações culturais.

Sustentabilidade: Promove práticas que contribuem para o desenvolvimento social, econômico e ambiental do território.

Qualificar e Fortalecer as Ações de Afirmação Institucional e Comunicação: Amplia a visibilidade do patrimônio cultural e das ações do Sesc por meio de comunicação estratégica.

Inovação e Transformação Digital: Incorporar recursos tecnológicos para potencializar a documentação, difusão e engajamento cultural.","[""Santa Rita""]","[""Março"",""Abril"",""Maio"",""Junho"",""Julho"",""Agosto"",""Setembro"",""Outubro"",""Novembro"",""Dezembro""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Clientes do Sesc"",""Público em Geral"",""Poder público"",""Imprensa e formadores de opinião"",""Comunidade acadêmica"",""Sociedade""]","[""Exposição"",""Educação patrimonial"",""Incentivo artístico e cultural""]","10.000","R$ 546.700,00","[""MEMÓRIA SOCIAL E PATRIMÔNIO CULTURAL - EXPOSIÇÕES - PSC | SANTA RITA"",""COMUNICAÇÃO - PSC | Patrimônio| Sesc Santa Rita"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Patrimônio| Sesc Santa Rita""]",,,
"Projeto Local","[""Música""]","Difusão e acesso à cultura","Toda Música","Toda Música","O Toda Música dinamiza as Unidades Santa Rita e Caborê com uma programação que abrange diversos gêneros e fazeres musicais, especialmente a música brasileira de tradição, fortalecendo a cena cultural e artística local. ","Oferecer ao público experiências musicais diversas por meio de apresentações e encontros formativos com artistas do território e de outras regiões, promovendo o acesso à música como linguagem de fruição, formação e pertencimento cultural.","Realizar 10 apresentações musicais com diversidade de gêneros e participação de artistas locais.","Foco na Clientela Preferencial
Atuação em Rede","[""Caborê"",""Santa Rita""]","[""Janeiro"",""Fevereiro"",""Março"",""Abril"",""Maio"",""Junho"",""Julho"",""Agosto"",""Setembro"",""Outubro"",""Novembro""]","[""Público em Geral"",""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Clientes do Sesc""]","[""Apresentações""]","Toda Música Santa Rita | 06 apresentações | 50 pessoas por apresentação - 300 atendimentos
Toda Música Cabore | 04 apresentações | 250 pessoas por apresentação - 1000 atendimentos","R$ 637.200,00","[""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Música| Sesc Santa Rita"",""MÚSICA - APRESENTAÇÕES - PSC | Santa Rita"",""COMUNICAÇÃO - PSC | Música| Sesc Cabore"",""MÚSICA - APRESENTAÇÕES - PSC | Cabore"",""COMUNICAÇÃO - PSC | Música| Sesc Santa Rita""]",,,
"Projeto Local","[""Música""]","Difusão e acesso à cultura","Estúdio Caborê","Estúdio Caborê","A partir de 2026, o Sesc Caborê contará com um estúdio de música integrado à sua estrutura. Neste primeiro ano de funcionamento, a proposta é explorar o potencial desse novo espaço como ferramenta de apoio e complementação das atividades já existentes na programação do Polo.



Com base em um levantamento a ser realizado junto à equipe do Polo Sociocultural, serão identificados projetos que poderão se beneficiar diretamente da atuação do estúdio, incorporando gravações, registros sonoros, trilhas ou outros formatos de conteúdo ao seu escopo.



Para viabilizar e qualificar essas ações, está prevista a contratação temporária de um técnico especializado, que atuará de forma dedicada no estúdio, garantindo suporte técnico e facilitando a integração com as diferentes áreas do Polo.","Implementar e operar um estúdio de gravação no Sesc Caborê, com foco na produção de conteúdos que fortaleçam, documentem e ampliem o alcance da programação e das ações desenvolvidas pela unidade.","Realizar produções musicais e podcasts ","Foco na Clientela Preferencial
Atuação em Rede","[""Caborê""]","[""Março"",""Fevereiro"",""Abril"",""Maio"",""Junho"",""Agosto"",""Setembro"",""Outubro"",""Novembro""]","[""Clientes do Sesc"",""Público em Geral"",""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes""]","[""Incentivo artístico e cultural""]","800 atendimentos diretos","R$ 89.500,00","[""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Música| Sesc Cabore"",""MÚSICA - AÇÕES FORMATIVAS - PSC | Cabore"",""COMUNICAÇÃO - PSC | Música| Sesc Cabore""]",,,
"Projeto Local","[""GEL""]","DPS","Recreação","Playground - Território Brincante","Projeto que propõe a instalação de brinquedos e ambientação paisagística na área externa do Sesc Caborê, com foco em espaços naturalizados. A proposta contempla ambientes lúdicos compostos por elementos como madeira, areia, água, vegetação e relevos naturais. Esses espaços promovem a conexão das crianças com a natureza, estimulam os sentidos e favorecem o desenvolvimento integral. O brincar é valorizado como linguagem central da infância. Mais do que um playground, o Território Brincante será um espaço vivo, que dialoga com o território e a cultura local.","Instalar um espaço lúdico permanente voltado à infância, promovendo o brincar livre, a convivência intergeracional e a valorização da imaginação, em ambiente seguro, criativo e acessível.","Instalar módulos de brinquedos integrados ao paisagismo do Sesc Caborê. Promover atividades de sensibilização e mediação com famílias e educadores. Garantir monitoramento semanal de uso e segurança do espaço.","Foco na Clientela Preferencial
Sustentabilidade","[""Caborê""]","[""Janeiro"",""Fevereiro"",""Março"",""Maio"",""Abril""]","[""Clientes do Sesc"",""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Público em Geral"",""Sociedade""]","[""Ações mediadas""]",,"R$ 409.770,00",,,,
"Projeto Local","[""GEL""]","DPS","Desenvolvimento Físico Esportivo - DFE","Exercícios Físicos Sistemáticos","O projeto visa implantar regularmente as atividades de Alongamento, Yoga e Pilates Solo no Sesc Caborê, em Paraty, a partir de 2026. As práticas serão oferecidas como parte da programação permanente da unidade, com foco na promoção do  bem-estar. As aulas ocorrerão em espaço reservado com estrutura adequada e serão conduzidas por profissionais qualificados.","Oferecer oportunidades regulares de atividade física para a promoção da saúde, da autonomia corporal e do bem-estar, com atenção à diversidade de faixas etárias e ao público prioritário do Sesc.","Manter turmas regulares de modalidades como alongamento, yoga e treinamento funcional, com frequência mínima de 60% dos inscritos. Realizar avaliações físicas semestrais e acompanhamento individualizado para os participantes.","Foco na Clientela Preferencial
","[""Caborê""]","[""Janeiro"",""Fevereiro"",""Março"",""Abril"",""Maio"",""Junho"",""Julho"",""Agosto"",""Setembro"",""Outubro"",""Novembro"",""Dezembro""]","[""Clientes do Sesc"",""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Público em Geral"",""Sociedade""]","[""Exercícios físicos sistemáticos""]","120 inscrições/pessoas atendidas
6 turmas
30.000 presença
","R$ 244.250,00",,,,
"Projeto Local","[""GEL""]","DPS","Desenvolvimento Físico Esportivo - DFE","Clube de Corrida","O Clube de Corrida do Sesc Caborê promove a prática orientada da corrida de rua com encontros semanais e acompanhamento profissional. A proposta inclui treinos, caminhadas, oficinas e ações educativas. Voltado a iniciantes e experientes, respeita diferentes níveis de preparo físico. As atividades acontecem em espaços urbanos e naturais de Paraty. A base do projeto é a Unidade Sesc Caborê. Além disso, o clube busca incentivar a integração social, a saúde e o bem-estar da comunidade local, promovendo um estilo de vida ativo e sustentável.","Implantar um programa continuado de corrida de rua para comerciários e seus dependentes, promovendo hábitos saudáveis, socialização e preparação para eventos esportivos.","Oferecer treinos semanais com diferentes níveis de intensidade. Garantir participação em pelo menos 2 corridas locais ou regionais. Realizar avaliação de desempenho e satisfação dos participantes."," Foco na Clientela Preferencial","[""Caborê""]","[""Janeiro"",""Fevereiro"",""Março"",""Abril"",""Maio"",""Julho"",""Junho"",""Agosto"",""Setembro"",""Outubro"",""Novembro"",""Dezembro""]","[""Clientes do Sesc"",""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Público em Geral"",""Sociedade""]","[""Formação esportiva""]","40 inscrições/pessoas atendidas
 2 turmas
10.000 presenças
","R$ 179.800,00",,,,
"Projeto Local","[""GSA""]","DPS","Alimentação e Nutrição ","Implementação e aprimoramento das Cafeterias ","As Unidades de Alimentação e Nutrição (UANs) serão projetadas para oferecer um serviço de qualidade e seguro, em um ambiente casual e acolhedor, com o objetivo de promover a conveniência e o bem-estar dos clientes, além de fomentar a valorização a experiência dos serviços programáticos ofertados e fortalecer a cultura alimentar e simbólica local.","Implantar e consolidar o Café Jequitibá como espaço de acolhimento, promoção da alimentação saudável e valorização da gastronomia local, integrando cultura, hospitalidade e bem-estar.","Concluir a implantação do café até o segundo semestre de 2026. Garantir funcionamento regular em pelo menos 5 dias úteis por semana. Realizar ações educativas mensais sobre alimentação consciente e ingredientes locais.",,"[""Santa Rita"",""Caborê""]","[""Janeiro"",""Fevereiro"",""Março"",""Abril"",""Maio"",""Junho"",""Julho"",""Agosto"",""Setembro"",""Outubro"",""Novembro"",""Dezembro""]","[""Clientes do Sesc"",""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Público em Geral"",""Sociedade""]","[""Lanche""]",,"R$ 354.000,00",,,,
"Projeto Local","[""Artes Cênicas""]","Formação em Artes","Formação e Pesquisa - Artes Cênicas","Danças Sociais","Danças Sociais é uma atividade formativa regular para trabalhadores do comércio, focada em danças brasileiras como samba de gafieira, forró, maxixe, lambada e danças afro-brasileiras. Promove diversidade, acessibilidade, saúde e bem-estar, alinhada aos ODS 3, 5 e 10, criando um ambiente sociocultural rico e acolhedor.","Oferecer experiências formativas em danças sociais com foco na valorização da cultura brasileira, na socialização entre diferentes faixas etárias e no bem-estar dos trabalhadores do comércio e seus dependentes.","Realizar 3 turmas anuais com 30 pessoas cada, garantindo 60% da clientela preferencial. Promover apresentações semestrais para valorizar, integrar e estimular a continuidade dos participantes.","Valores: Acolhimento/ Diversidade
Diretrizes estratégicas: Foco na clientela principal e Qualificar e Fortalecer as Ações de Afirmação Institucional e Comunicação","[""Caborê""]","[""Fevereiro"",""Março"",""Abril"",""Maio"",""Junho"",""Julho"",""Agosto"",""Setembro"",""Outubro"",""Novembro""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Clientes do Sesc"",""Público em Geral""]","[""Ações formativas""]","90 alunos (30 por turma)","R$ 145.700,00","[""ARTES CÊNICAS - AÇÕES FORMATIVAS - PSC - CABORÊ"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Artes Cênicas | Sesc Cabore"",""COMUNICAÇÃO - PSC | Artes Cênicas | Sesc Cabore""]",,,
"Projeto Local","[""Arte-educação"",""GEC""]","Formação em Artes","LabMais - Laboratório Sesc de Artes, Mídias, Tecnologias e Juventudes","Ações Formativas","O projeto configura-se como um espaço educativo e cultural do Sesc Paraty voltado a jovens trabalhadores do comércio de bens, serviços e turismo, e comunidades em situação de vulnerabilidade social. Promove o protagonismo juvenil por meio de ações formativas em arte, cultura e novas mídias, com foco no desenvolvimento humano e na qualificação profissional. Estimula a produção colaborativa de vídeos, podcasts, clipes e ensaios fotográficos, conectando os jovens à economia da cultura. Alinhado à missão do Sesc de promover o bem-estar social, o LABmais atua com base na diversidade e inclusão, ampliando o acesso à cultura e fortalecendo o papel dos jovens como agentes de transformação social.","Oferecer experiências criativas e formativas em linguagens artísticas e cultura digital voltadas às juventudes, promovendo a inclusão, o diálogo intergeracional e a valorização dos saberes territoriais, com foco na clientela preferencial.","Atender 800 participantes em formações presenciais e online, realizar 4 residências artísticas e consolidar plataforma digital para difusão dos produtos culturais jovens.","Ampliar a participação dos trabalhadores do comercio de bens, serviços e turismo e seus dependentes; 
Inovação e transformação Digital;
Fortalecer o reconhecimento do Sesc; 
Atuação em rede; 
Foco na Clientela Preferencial;
Qualificar e Fortalecer as Ações de Afirmação Institucional e Comunicação;","[""Caborê""]","[""Maio"",""Junho"",""Julho"",""Agosto"",""Setembro"",""Outubro"",""Novembro""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes""]","[""Ações formativas""]"," Total de atendimento: 800 pessoas. 
","R$ 403.400,00","[""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Arte Educação| Sesc Cabore"",""COMUNICAÇÃO - PSC | Arte Educação| Sesc Cabore"",""ARTE EDUCAÇÃO - APRESENTAÇÕES - PSC | Cabore"",""ARTE EDUCAÇÃO - AÇÕES MEDIADAS - PSC | Cabore"",""ARTE EDUCAÇÃO - AÇÕES FORMATIVAS - PSC | Cabore""]",,,
"Projeto Local","[""Literatura""]","Formação em Artes","Formação e Pesquisa - Literatura ","Arte da Palavra - Circuito de Criação Literária","Serão realizados três circuitos de Criação Literária parte do projeto nacional Arte da Palavra. O circuito de Criação Literária promove oficinas nos mais diversos formatos assumidos pela literatura. ","Estimular a criação literária e a formação de novos escritores por meio da realização de oficinas do projeto Arte da Palavra, promovendo o acesso à literatura como ferramenta de expressão e desenvolvimento pessoal entre os trabalhadores do comércio e seus dependentes.","Realizar três oficinas de criação literária, com pelo menos 20 participantes cada. Garantir que, em cada oficina, ao menos 50% dos inscritos sejam comerciários ou seus dependentes. Estimular a produção de textos autorais e promover sua circulação.","Foco na Clientela Preferencial
Atuação em Rede","[""Santa Rita""]","[""Março"",""Maio"",""Outubro""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Público em Geral""]","[""Ações formativas""]","20 atendimentos por oficina","R$ 64.300,00","[""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Literatura| Sesc Santa Rita"",""COMUNICAÇÃO - PSC | Literatura| Sesc Santa Rita"",""AÇÕES FORMATIVAS - PSC - SANTA RITA""]",,,
"Projeto Local","[""Literatura""]","Formação em Artes","Formação e Pesquisa - Literatura ","Arte da Palavra - Circuito de Oralidades","Serão realizadas três etapas do Circuito de Oralidades parte do projeto nacional Arte da Palavra. O Circuito de Oralidades promove apresentações de de artistas que trabalham com a palavra falada, como o slam, o rap, o repente. ","Valorizar a tradição oral e a diversidade de vozes por meio do Circuito de Oralidades do Arte da Palavra, oferecendo apresentações e rodas de conversa que estimulem a escuta, o repertório cultural e o senso crítico do público prioritário.","Realizar 5 apresentações em escolas e espaços parceiros, com público médio de 100 pessoas, garantindo ao menos 50% da clientela preferencial e promovendo interação com autores convidados e registros das falas para circulação futura.","Foco na Clientela Preferencial
Atuação em Rede","[""Santa Rita"",""Caborê""]","[""Abril"",""Junho"",""Setembro""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Público em Geral""]","[""Apresentações""]","100 atendimentos por apresentação na Escola
50 atendimentos por apresentação na unidade do Sesc ","R$ 64.300,00","[""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Literatura| Sesc Santa Rita"",""COMUNICAÇÃO - PSC | Literatura| Sesc Santa Rita"",""COMUNICAÇÃO - PSC | Literatura| Sesc Cabore"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Literatura| Sesc Cabore"",""APRESENTAÇÕES - PSC - SANTA RITA"",""APRESENTAÇÕES - PSC - CABORÊ""]",,,
"Projeto Local","[""Literatura""]","Formação em Artes","Formação e Pesquisa - Literatura ","Clube Sesc de Leitores","O Clube Sesc de Leitores é uma atividade regular que incentiva o hábito da leitura no dia a dia. Muitas vezes, valoriza-se mais a escrita, mas é importante lembrar que não se escreve sem antes ler. Por isso, o Clube propõe a leitura prévia de obras contemporâneas, com encontros para conversa e troca de ideias — sempre que possível, com a presença do próprio autor do livro.","Formar novos leitores e ampliar o repertório crítico dos participantes por meio da realização regular do Clube Sesc de Leitores, estimulando o diálogo coletivo sobre livros e a valorização da leitura como prática cultural e ferramenta de pertencimento.
","Realizar 4 ciclos de leitura anuais, com média de 25 participantes, garantindo 50% de trabalhadores do comércio e dependentes. Produzir registros das discussões para divulgação institucional e retroalimentação do projeto.","Foco na Clientela Preferencial","[""Santa Rita"",""Caborê""]","[""Março"",""Abril"",""Junho"",""Setembro"",""Novembro""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Público em Geral""]","[""Ações mediadas""]","25 atendimentos por ciclo","R$ 120.990,00","[""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Literatura| Sesc Santa Rita"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Literatura| Sesc Cabore"",""COMUNICAÇÃO - PSC | Literatura| Sesc Santa Rita"",""COMUNICAÇÃO - PSC | Literatura| Sesc Cabore"",""AÇÕES MEDIADAS - PSC - SANTA RITA"",""AÇÕES MEDIADAS - PSC - CABORÊ"",""AÇÕES FORMATIVAS - PSC - CABORÊ"",""AÇÕES FORMATIVAS - PSC - SANTA RITA"",""APRESENTAÇÕES - PSC - CABORÊ""]",,,
"Projeto Local","[""Literatura""]","Formação em Artes","Formação e Pesquisa - Literatura ","Clubinho Sesc de Leitores","Realização de mediação de leitura nas seis Bibliotecas Comunitárias de Paraty que integram a Rede Nacional de Bibliotecas Comunitárias - RNBC. ","Fomentar o hábito da leitura entre o público infantil por meio de encontros regulares nas Bibliotecas Comunitárias de Paraty, fortalecendo a mediação de leitura e a formação leitora desde a infância, com atenção ao acesso dos dependentes da clientela preferencial.","Realizar mediações de leitura nas 6 Bibliotecas Comunitárias, priorizando crianças dependentes de comerciários. Diversificar os gêneros e envolver as famílias com ações abertas e comunitárias.","Foco na Clientela Preferencial
Atuação em Rede","[""Santa Rita"",""Caborê""]","[""Janeiro"",""Fevereiro"",""Março"",""Abril"",""Maio"",""Junho"",""Julho"",""Agosto"",""Setembro"",""Outubro"",""Novembro"",""Dezembro""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Público em Geral""]","[""Ações mediadas""]","400 atendimentos por mês","R$ 194.400,00","[""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Literatura| Sesc Santa Rita"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Literatura| Sesc Cabore"",""COMUNICAÇÃO - PSC | Literatura| Sesc Cabore"",""COMUNICAÇÃO - PSC | Literatura| Sesc Santa Rita"",""AÇÕES MEDIADAS - PSC - CABORÊ"",""AÇÕES MEDIADAS - PSC - SANTA RITA""]",,,
"Projeto Local","[""Artes Cênicas""]","Formação em Artes","Formação e Pesquisa - Artes Cênicas","Circoladô","Circoladô é uma ação formativa para crianças e jovens, especialmente dependentes de comerciários, que utiliza o circo para estimular criatividade, expressão corporal, coordenação, concentração e trabalho em equipe. Promove aprendizagem lúdica e desenvolvimento social, emocional e cognitivo, oferecendo um espaço de diversão e formação integral.","Desenvolver habilidades de expressão, coordenação motora, concentração e imaginação entre crianças e jovens por meio de oficinas de circo, promovendo o lúdico e a convivência em grupo, com foco na inclusão da clientela preferencial.","Realizar oficinas regulares com até 20 crianças/adolescentes por turma, priorizando dependentes de comerciários. Fazer 2 apresentações públicas para estimular pertencimento, autoestima e criatividade.","Valores: Acolhimento/ Diversidade
Diretrizes estratégicas: Foco na clientela preferencial e Qualificar e Fortalecer as Ações de Afirmação Institucional e Comunicação","[""Caborê""]","[""Fevereiro"",""Março"",""Abril"",""Maio"",""Junho"",""Julho"",""Agosto""]","[""Trabalhador do Comércio de Bens, Serviços e Turismo e seus dependentes"",""Clientes do Sesc""]","[""Ações formativas""]","40 alunos","R$ 143.000,00","[""ARTES CÊNICAS - AÇÕES FORMATIVAS - PSC - CABORÊ"",""APOIO PROGR. FINALÍSTICA - CULTURA - PSC | Artes Cênicas | Sesc Cabore"",""COMUNICAÇÃO - PSC | Artes Cênicas | Sesc Cabore""]",,,
